ID,# pos actors,# neg actors,# actors,# pos genres,# neg_genres,# genres,# pos movies,# neg movies,# movies,# pos keywords,# neg keywords,# keywords
10gvsh,0,0,0,0,0,0,1,1,2,2,1,3
10tqw6,0,0,0,0,0,0,1,1,2,7,1,8
10u1ce,0,0,0,2,0,2,7,1,8,1,1,2
1106mj,0,0,0,0,0,0,2,1,3,2,1,3
11fhdf,0,0,0,0,1,1,1,1,2,3,1,4
11h2xa,0,0,0,0,0,0,4,1,5,1,1,2
11ms2h,0,0,0,1,0,1,1,1,2,18,1,19
11nniy,0,0,0,0,0,0,1,1,2,3,1,4
11oxif,0,0,0,0,0,0,1,1,2,1,1,2
11prhd,0,0,0,0,0,0,5,1,6,1,1,2
11tltq,0,0,0,0,0,0,3,1,4,9,1,10
11ycep,0,0,0,0,0,0,1,1,2,1,1,2
11zedd,0,0,0,0,0,0,5,1,6,1,1,2
120ww0,0,0,0,0,0,0,5,1,6,1,1,2
124iqq,1,0,1,2,0,2,5,1,6,11,1,12
126xej,0,0,0,0,0,0,4,1,5,2,1,3
128z5l,0,0,0,0,0,0,1,1,2,4,1,5
12aufe,0,0,0,0,0,0,2,1,3,1,1,2
12ifq2,0,0,0,1,0,1,3,1,4,5,1,6
12j985,0,0,0,0,0,0,11,1,12,1,1,2
12ko6p,0,0,0,0,0,0,1,1,2,2,1,3
12r9wx,0,0,0,0,0,0,1,1,2,4,1,5
12rll1,0,0,0,0,0,0,1,1,2,1,1,2
12sy3w,1,0,1,0,0,0,3,1,4,4,1,5
12uukn,0,0,0,0,0,0,1,24,25,2,2,4
12xb6d,1,0,1,1,0,1,2,1,3,1,1,2
1300ha,0,0,0,0,0,0,1,1,2,3,1,4
131xox,0,0,0,2,0,2,3,1,4,2,1,3
139jol,0,0,0,0,0,0,3,1,4,3,1,4
13dwdh,0,0,0,0,0,0,1,1,2,1,1,2
13f82g,0,0,0,0,0,0,2,1,3,1,1,2
13imzy,0,0,0,0,0,0,2,1,3,3,1,4
13k6hq,0,0,0,0,0,0,1,1,2,1,2,3
13lq00,0,0,0,0,0,0,2,1,3,1,1,2
