id,original_title,alternative
3455488,"Le fate ignoranti (2001)","The Ignorant Fairies (2001)"
3892739,"The Bridge on the River Kwai (1957)","Die Brücke am Kwai (1991)"
3993258,"The Thing from Another World (1951)","Howard Hawks' Production The Thing from Another World (1951)"
3095246,"Dead & Breakfast (2004)","Dead & Breakfast - Hotel Zombie (2005)"
3202855,"Fear and Desire (1953)","The Trap (1953)"
3984657,"The Sixth Man (1997)","Un canestro x due (1997)"
3945841,"The Lodger: A Story of the London Fog (1927)","The Lodger (1927)"
2840528,"28 Days (2000)","28 Tage (2000)"
2979536,"Blackboard Jungle (1955)","Die Saat der Gewalt (1955)"
3893346,"The Brothers Grimm (2005)","I fratelli Grimm e l'incantevole strega (2005)"
3289521,"Hei tai yang 731 (1988)","Men Behind the Sun (1988)"
3385112,"Just Visiting (2001)","L'ultimo guerriero (2003)"
3831881,"Steel Dawn (1987)","Steel Dawn - Die Fährte des Siegers (1987)"
2918500,"Aparajito (1956)","Apu 2: The Unvanquished (1957)"
3888209,"The Big Shave (1968)","The Big Shave... or, Viet '67 (1968)"
3963068,"The Other Guys (2010)","I poliziotti di riserva (2010)"
3886933,"The Best Years of Our Lives (1946)","Glory for Me (1945)"
3766938,"Se ying diu sau (1978)","Eagle's Shadow (1978)"
3429381,"La cité de la peur (1994)","Le Film de les Nuls (1995)"
2941506,"Bacheha-Ye aseman (1997)","Children of Heaven (1999)"
3388585,"Kaijû sôshingeki (1968)","Gli eredi di King Kong (1968)"
3981028,"The Secret Garden (1993)","Der geheime Garten (1994)"
3449072,"Last Man Standing (1996)","Ancora vivo (1996)"
3767453,"Seance on a Wet Afternoon (1964)","An einem trüben Nachmittag (1971)"
3062356,"Cool Hand Luke (1967)","Der Unbeugsame (1967)"
4010637,"They Shoot Horses, Don't They? (1969)","Non si uccidono così anche i cavalli? (1969)"
4131272,"Yat goh ho yan (1997)","Yi ge hao ren (1997)"
3459082,"Le salaire de la peur (1953)","Lohn der Angst (1953)"
4076833,"Vegas Vacation (1997)","Die schrillen Vier in Las Vegas (1997)"
2930979,"At the Circus (1939)","The Marx Brothers at the Circus (1939)"
3211065,"Fire Birds (1990)","Wings of the Apache (1990)"
3723995,"Resident Evil: Afterlife (2010)","Resident Evil 4: Afterlife (2010)"
3392291,"Kapringen (2012)","Hijacking - Todesangst ... In der Gewalt von Piraten (2012)"
3355467,"Intouchables (2011)","Quasi amici - Intouchables (2011)"
3509743,"Maid in Manhattan (2002)","Uptown Girl (2002)"
3339916,"Imagine That (2009)","NowhereLand (2008)"
3678191,"Politiki kouzina (2003)","Baharatin tadi (2003)"
3991265,"The Sword in the Stone (1963)","Merlin und Mim (1964)"
3193414,"F for Fake (1973)","Fakes!! (1972)"
3356882,"Io sono l'amore (2009)","I Am Love (2010)"
3737466,"Roma città aperta (1945)","Rome, Open City (1945)"
3510620,"Major League II (1994)","Major League - La rivincita (1994)"
3230243,"Friends with Money (2006)","Freunde mit Geld (2008)"
3510606,"Major League (1989)","Die Indianer von Cleveland (1990)"
2859784,"A Mighty Heart (2007)","Ein mutiger Weg (2007)"
4003557,"The Westerner (1940)","L'uomo del West (1940)"
4136859,"Young People Fucking (2007)","YPF (2008)"
3764654,"Scooby-Doo 2: Monsters Unleashed (2004)","Scooby-Doo 2 (2002)"
4123860,"Woodstock (1970)","Woodstock: tre giorni di pace, amore, e musica (1970)"
4150185,"Átame! (1989)","Feßle mich! (1990)"
3943950,"The Life and Times of Judge Roy Bean (1972)","Das war Roy Bean (1991)"
3402196,"Killers (2010)","Five Killers (2010)"
2956793,"Beauty and the Beast (1991)","La bella e la bestia (1992)"
4061816,"Une femme est une femme (1961)","Eine Frau ist eine Frau (1961)"
3430492,"La danza de la realidad (2013)","The Dance of Reality (2013)"
3486298,"Lonely Are the Brave (1962)","Einsam sind die Tapferen (1991)"
3984665,"The Sixth Sense (1999)","Sixth Sense (1999)"
3523764,"Mask (1985)","Die Maske (1985)"
3754802,"San ging chaat goo si (2004)","Xin jing cha gu shi (2004)"
3692950,"Profondo rosso (1975)","Chipsyomega (1974)"
4059475,"Uncommon Valor (1983)","Last River to Cross (1983)"
3931711,"The Hound of the Baskervilles (1939)","Der Hund von Baskerville (1939)"
2961594,"Beloe solntse pustyni (1970)","Beloye solntse pustyni (1970)"
3954560,"The Milagro Beanfield War (1988)","Milagro (1988)"
4149259,"¿Quién puede matar a un niño? (1976)","Tödliche Befehle aus dem All (1977)"
3954461,"The Mighty (1998)","The Mighty - Gemeinsam sind sie stark (1999)"
4112371,"White Noise 2: The Light (2007)","White Noise 2 (2007)"
3996350,"The Trotsky (2009)","Le Trotski (2009)"
3916826,"The Final Destination (2009)","Final Destination: Death Trip (2009)"
4003140,"The Wedding Date (2005)","Un amore in prestito (2005)"
3678066,"Polisse (2011)","Poliss (2011)"
3300134,"Hip Hip Hora! (2004)","Hip hei hutsu (2012)"
3166071,"El laberinto del fauno (2006)","Pan's Labyrinth (2006)"
3993683,"The Three Burials of Melquiades Estrada (2005)","Three Burials (2005)"
3999276,"The VVitch: A New-England Folktale (2015)","The VVitch (2015)"
3315783,"How the Grinch Stole Christmas (2000)","Der Grinch (2000)"
3113799,"Det sjunde inseglet (1957)","Das siebente Siegel (1991)"
3400201,"Kicking & Screaming (2005)","Untitled Will Ferrell Soccer Comedy (2003)"
3235652,"Furious 6 (2013)","æÏÒÓÁÖ 6 (2013)"
3165485,"El hijo de la novia (2001)","Il figlio della sposa (2003)"
3025112,"Catch-22 (1970)","Comma 22 (1970)"
3807714,"Snatch (2000)","Snatch - Lo strappo (2001)"
3823859,"Splendor in the Grass (1961)","Splendour in the Grass (1961)"
3833581,"Stigmata (1999)","Stigmate (2000)"
4037284,"Tre uomini e una gamba (1997)","Three Men and a Leg (1997)"
3898334,"The Circus (1928)","Zirkus (1928)"
3905332,"The Day of the Locust (1975)","Il giorno della locusta (1975)"
3925181,"The Grandmother (1970)","La nonna (1970)"
3080339,"Dah (2002)","Dieci (2002)"
3981400,"The Secret of Moonacre (2008)","Moonacre - I segreti dell'ultima luna (2009)"
3879193,"The Adventures of Robin Hood (1938)","Robin Hoods Abenteuer (1950)"
3870013,"Tell Your Children (1936)","Doped Youth (1938)"
3693500,"Project X (2012)","Project X - Una festa che spacca (2012)"
2940137,"Babe (1995)","Babe, maialino coraggioso (1996)"
4035279,"Transformers (2007)","Prime Directive (2007)"
3873249,"Terrore nello spazio (1965)","Schrecken im Weltall (1969)"
3182772,"Escape from New York (1981)","John Carpenter's Escape from New York (1981)"
3110956,"Dersu Uzala (1975)","Derusu Uzara (1975)"
3574295,"My Super Ex-Girlfriend (2006)","La mia super ex-ragazza (2006)"
3703937,"Quel maledetto treno blindato (1978)","Ein Haufen verwegener Hunde (1978)"
3345720,"In the Mouth of Madness (1994)","John Carpenter's In the Mouth of Madness (1995)"
3102478,"Delirious (2006)","Blitzlichtgewitter (2006)"
3951870,"The Manhattan Project (1986)","Gioco mortale (1986)"
3086581,"Dark Victory (1939)","Opfer einer großen Liebe (2005)"
3423479,"L'uccello dalle piume di cristallo (1970)","The Phantom of Terror (1982)"
3878900,"The Adventures of Buckaroo Banzai Across the 8th Dimension (1984)","The Adventures of Buckaroo Banzai (1984)"
3464068,"Leningrad (2009)","ìÅÎÉÎÇÒÁÄ (2009)"
3215423,"Flesh for Frankenstein (1973)","Up Frankenstein (1973)"
3118698,"Die Brücke (1959)","Il ponte (1959)"
2936322,"Avatar (2009)","James Cameron's Avatar (2009)"
3951414,"The Man from U.N.C.L.E. (2015)","The Man from UNCLE (2015)"
3932530,"The Hunger Games (2012)","Artemis (2011)"
4093966,"Waking the Dead (2000)","Sarah (2000)"
3928708,"The Haunting (1963)","Until the Blood Freezes (1963)"
2891382,"Alferd Packer: The Musical (1993)","Cannibal: The Musical (1993)"
4152170,"Última Parada 174 (2008)","Last Stop 174 (2008)"
3795823,"Silver Bullet (1985)","Unico indizio la luna piena (1985)"
4030401,"Torrente 2: Misión en Marbella (2001)","Misión en Marbella (2001)"
3194735,"Faces of Death (1978)","Le facce della morte (1978)"
2977149,"Black Christmas (1974)","Jessy - Die Treppe in den Tod (1975)"
3930162,"The Hills Have Eyes (2006)","The Hills have Eyes - Hügel der blutigen Augen (2006)"
3362787,"Ivan Groznyy. Skaz vtoroy: Boyarskiy zagovor (1958)","La congiura dei boiardi (1958)"
2945314,"Bait (2000)","Bait - Fette Beute (2001)"
3602409,"Noel (2004)","Un amore sotto l'albero (2004)"
3178376,"Enron: The Smartest Guys in the Room (2005)","Black Magic (2005)"
3692417,"Procès de Jeanne d'Arc (1962)","Der Prozeß der Jeanne d'Arc (1965)"
2958270,"Before I Go to Sleep (2014)","Avant d'aller dormir (2014)"
