movie_id;movie_title
tt0000417;Le voyage dans la lune (1902)
tt0000439;The Great Train Robbery (1903)
tt0004972;The Birth of a Nation (1915)
tt0009139;Hands Down (1918)
tt0009611;Shoulder Arms (1918)
tt0010323;Das Cabinet des Dr. Caligari (1920)
tt0012364;Körkarlen (1921)
tt0013257;Häxan (1922)
tt0013442;Nosferatu, eine Symphonie des Grauens (1922)
tt0013472;Our Gang (1922)
tt0014358;The Pilgrim (1923)
tt0014872;Entr'acte (1924)
tt0015064;Der letzte Mann (1924)
tt0015324;Sherlock Jr. (1924)
tt0015361;Stachka (1925)
tt0015400;The Thief of Bagdad (1924)
tt0015532;Die Abenteuer des Prinzen Achmed (1926)
tt0015624;The Big Parade (1925)
tt0015648;Bronenosets Potyomkin (1925)
tt0015864;The Gold Rush (1925)
tt0015881;Greed (1924)
tt0016220;The Phantom of the Opera (1925)
tt0016332;Seven Chances (1925)
tt0016847;Faust: Eine deutsche Volkssage (1926)
tt0017048;Kurutta ippêji (1926)
tt0017136;Metropolis (1927)
tt0017775;La coquille et le clergyman (1928)
tt0017925;The General (1926)
tt0018192;Napoléon vu par Abel Gance (1927)
tt0018217;Oktyabr (1928)
tt0018455;Sunrise: A Song of Two Humans (1927)
tt0018578;Wings (1927)
tt0018737;Die Büchse der Pandora (1929)
tt0019254;La passion de Jeanne d'Arc (1928)
tt0019421;Steamboat Bill, Jr. (1928)
tt0019563;West of Zanzibar (1928)
tt0019760;Chelovek s kino-apparatom (1929)
tt0019901;Frau im Mond (1929)
tt0020163;Menschen am Sonntag (1930)
tt0020475;Tagebuch einer Verlorenen (1929)
tt0020629;All Quiet on the Western Front (1930)
tt0020697;Der blaue Engel (1930)
tt0020815;The Dawn Patrol (1930)
tt0020960;Hell's Angels (1930)
tt0021016;Just Imagine (1930)
tt0021079;Little Caesar (1931)
tt0021331;Le sang d'un poète (1932)
tt0021577;L'âge d'or (1930)
tt0021749;City Lights (1931)
tt0021884;Frankenstein (1931)
tt0022100;M (1931)
tt0022158;Monkey Business (1931)
tt0022183;Mädchen in Uniform (1931)
tt0022286;The Public Enemy (1931)
tt0022718;Boudu sauvé des eaux (1932)
tt0022787;Les croix de bois (1932)
tt0022835;Dr. Jekyll and Mr. Hyde (1931)
tt0022913;Freaks (1932)
tt0022958;Grand Hotel (1932/I)
tt0023027;Horse Feathers (1932)
tt0023042;I Am a Fugitive from a Chain Gang (1932)
tt0023074;Jewel Robbery (1932)
tt0023101;Kongo (1932)
tt0023158;Love Me Tonight (1932)
tt0023238;The Most Dangerous Game (1932)
tt0023251;The Music Box (1932)
tt0023293;The Old Dark House (1932)
tt0023427;Scarface (1932)
tt0023622;Trouble in Paradise (1932)
tt0023649;Vampyr (1932)
tt0023775;Baby Face (1933)
tt0023948;Dinner at Eight (1933)
tt0023969;Duck Soup (1933)
tt0024034;42nd Street (1933)
tt0024069;Gold Diggers of 1933 (1933)
tt0024184;The Invisible Man (1933)
tt0024188;Island of Lost Souls (1932)
tt0024844;L'Atalante (1934)
tt0025452;The Man Who Knew Too Much (1934)
tt0025480;Mauvaise graine (1934)
tt0025586;Of Human Bondage (1934)
tt0025746;The Scarlet Empress (1934)
tt0025878;The Thin Man (1934)
tt0025913;Triumph des Willens (1935)
tt0026029;The 39 Steps (1935)
tt0026123;The Black Room (1935)
tt0026138;Bride of Frankenstein (1935)
tt0026174;Captain Blood (1935)
tt0026393;'G' Men (1935)
tt0026424;The Good Fairy (1935)
tt0026529;The Informer (1935)
tt0026663;Mad Love (1935)
tt0026752;Mutiny on the Bounty (1935)
tt0026778;A Night at the Opera (1935)
tt0026866;Peter Ibbetson (1935)
tt0027125;Top Hat (1935)
tt0027260;After the Thin Man (1936)
tt0027342;La belle équipe (1936)
tt0027977;Modern Times (1936)
tt0027996;Mr. Deeds Goes to Town (1936)
tt0028010;My Man Godfrey (1936)
tt0028096;The Petrified Forest (1936)
tt0028167;Rembrandt (1936)
tt0028313;The Story of Louis Pasteur (1936)
tt0028346;Tell Your Children (1936)
tt0028358;Things to Come (1936)
tt0028597;The Awful Truth (1937)
tt0028772;A Day at the Races (1937)
tt0028816;Easy Living (1937)
tt0028950;La grande illusion (1937)
tt0029162;Lost Horizon (1937)
tt0029192;Make Way for Tomorrow (1937)
tt0029284;My Favorite Wife (1940)
tt0029322;Nothing Sacred (1937)
tt0029347;One Hundred Men and a Girl (1937)
tt0029440;The Prince and the Pauper (1937)
tt0029442;The Prisoner of Zenda (1937)
tt0029583;Snow White and the Seven Dwarfs (1937)
tt0029747;Way Out West (1937)
tt0029808;You Only Live Once (1937)
tt0029843;The Adventures of Robin Hood (1938)
tt0029844;The Adventures of Tom Sawyer (1938)
tt0029947;Bringing Up Baby (1938)
tt0029957;La bête humaine (1938)
tt0030044;The Dawn Patrol (1938)
tt0030202;The Great Waltz (1938)
tt0030341;The Lady Vanishes (1938)
tt0030993;You Can't Take It with You (1938)
tt0031033;Allegheny Uprising (1939)
tt0031067;Bachelor Mother (1939)
tt0031260;Each Dawn I Die (1939)
tt0031314;Five Came Back (1939)
tt0031381;Gone with the Wind (1939)
tt0031385;Goodbye, Mr. Chips (1939)
tt0031398;Gunga Din (1939)
tt0031491;Intermezzo: A Love Story (1939)
tt0031514;Le jour se lève (1939)
tt0031572;The Light That Failed (1939)
tt0031593;Love Affair (1939)
tt0031679;Mr. Smith Goes to Washington (1939)
tt0031725;Ninotchka (1939)
tt0031867;The Roaring Twenties (1939)
tt0031885;La règle du jeu (1939)
tt0031971;Stagecoach (1939)
tt0031983;The Story of Vernon and Irene Castle (1939)
tt0032138;The Wizard of Oz (1939)
tt0032145;Wuthering Heights (1939)
tt0032413;Dr. Ehrlich's Magic Bullet (1940)
tt0032432;Edison, the Man (1940)
tt0032455;Fantasia (1940)
tt0032520;The Ghost Breakers (1940)
tt0032536;Go West (1940)
tt0032551;The Grapes of Wrath (1940)
tt0032553;The Great Dictator (1940)
tt0032599;His Girl Friday (1940)
tt0032653;Jud Süß (1940)
tt0032811;The Mortal Storm (1940)
tt0032904;The Philadelphia Story (1940)
tt0032910;Pinocchio (1940)
tt0032943;Pride and Prejudice (1940)
tt0032976;Rebecca (1940)
tt0033028;The Sea Hawk (1940)
tt0033045;The Shop Around the Corner (1940)
tt0033149;They Drive by Night (1940)
tt0033152;The Thief of Bagdad (1940)
tt0033253;The Westerner (1940)
tt0033373;Ball of Fire (1941)
tt0033467;Citizen Kane (1941)
tt0033532;All That Money Can Buy (1941)
tt0033533;The Devil and Miss Jones (1941)
tt0033537;Dive Bomber (1941)
tt0033563;Dumbo (1941)
tt0033660;The Ghost Train (1941)
tt0033717;High Sierra (1941)
tt0033723;Hold That Ghost (1941)
tt0033804;The Lady Eve (1941)
tt0033836;The Little Foxes (1941)
tt0033870;The Maltese Falcon (1941)
tt0033891;Meet John Doe (1941)
tt0034167;Sergeant York (1941)
tt0034240;Sullivan's Travels (1941)
tt0034248;Suspicion (1941)
tt0034251;Swamp Water (1941)
tt0034398;The Wolf Man (1941)
tt0034492;Bambi (1942)
tt0034583;Casablanca (1942)
tt0034587;Cat People (1942)
tt0034780;George Washington Slept Here (1942)
tt0034798;The Glass Key (1942)
tt0035015;The Magnificent Ambersons (1942)
tt0035019;The Major and the Minor (1942)
tt0035093;Mrs. Miniver (1942)
tt0035100;My Favorite Blonde (1942)
tt0035211;The Pride of the Yankees (1942)
tt0035238;Random Harvest (1942)
tt0035279;Saboteur (1942)
tt0035423;Kate & Leopold (2001)
tt0035432;This Gun for Hire (1942)
tt0035446;To Be or Not to Be (1942)
tt0035515;La vie de bohème (1945)
tt0035530;Wake Island (1942)
tt0035567;Woman of the Year (1942)
tt0035631;The Amazing Mrs. Holliday (1943)
